p,n_scc,largest_scc
0.000960, 4, 9997
0.000961, 3, 9998
0.000962, 2, 9999
0.000963, 3, 9998
0.000964, 1, 10000
0.000965, 2, 9999
0.000966, 2, 9999
0.000967, 2, 9999
0.000968, 3, 9998
0.000969, 1, 10000
0.000970, 1, 10000
0.000971, 3, 9998
0.000972, 1, 10000
0.000973, 1, 10000
0.000974, 1, 10000
0.000975, 3, 9998
0.000976, 2, 9999
0.000977, 1, 10000
0.000978, 1, 10000
0.000979, 2, 9999
0.000980, 5, 9996
0.000981, 3, 9998
0.000982, 4, 9997
0.000983, 1, 10000
0.000984, 3, 9998
0.000985, 1, 10000
0.000986, 1, 10000
0.000987, 1, 10000
0.000988, 1, 10000
0.000989, 3, 9998
0.000990, 4, 9997
0.000991, 1, 10000
0.000992, 2, 9999
0.000993, 1, 10000
0.000994, 1, 10000
0.000995, 1, 10000
0.000996, 2, 9999
0.000997, 2, 9999
0.000998, 2, 9999
0.000999, 2, 9999
